"cell_name","cell_line_demuxlet","demuxlet_cls"
"P10","H2228","SNG"
"G22","H8383","DBL"
"I13","HCC827","SNG"
"H20","H1975","SNG"
"N14","H2228","SNG"
"K14","H8383","DBL"
"I10","A549","DBL"
"I17","H1975","DBL"
"I6","A549","SNG"
"G16","H2228","SNG"
"D1","A549","DBL"
"F19","A549","DBL"
"F7","H1975","DBL"
"L2","A549","SNG"
"P12","H1975","DBL"
"I7","A549","DBL"
"G24","H1975","SNG"
"F9","H8383","SNG"
"H24","H1975","DBL"
"K2","H1975","DBL"
"M23","HCC827","SNG"
"K22","A549","DBL"
"D23","H8383","SNG"
"K8","A549","SNG"
"L19","HCC827","SNG"
"B19","H1975","DBL"
"N5","HCC827","DBL"
"G5","A549","DBL"
"H21","A549","DBL"
"H15","HCC827","SNG"
"P22","H1975","SNG"
"E5","H2228","SNG"
"K15","A549","DBL"
"P3","H1975","DBL"
"C5","H8383","SNG"
"H10","HCC827","DBL"
"P11","H2228","DBL"
"P18","H2228","DBL"
"C7","H8383","DBL"
"K13","A549","SNG"
"A22","H2228","DBL"
"M7","A549","SNG"
"C24","H8383","DBL"
"C10","H2228","SNG"
"K7","HCC827","SNG"
"A15","H2228","SNG"
"I5","H8383","DBL"
"O4","A549","SNG"
"B3","H1975","DBL"
"M24","H1975","SNG"
"I15","A549","DBL"
"M15","A549","SNG"
"F23","H8383","DBL"
"A8","HCC827","SNG"
"O15","H2228","SNG"
"A16","HCC827","SNG"
"L6","A549","SNG"
"F15","H8383","DBL"
"E8","HCC827","DBL"
"L14","A549","SNG"
"F3","H2228","DBL"
"J10","A549","DBL"
"N8","HCC827","DBL"
"D21","H2228","SNG"
"K19","H8383","DBL"
"C16","H2228","DBL"
"K16","H1975","DBL"
"H9","HCC827","SNG"
"B2","H8383","SNG"
"E9","H8383","SNG"
"O21","A549","SNG"
"C1","A549","SNG"
"H5","A549","DBL"
"O23","H1975","DBL"
"G21","A549","DBL"
"F5","A549","DBL"
"C8","H1975","SNG"
"L10","H8383","SNG"
"E24","HCC827","DBL"
"I8","H1975","DBL"
"B6","H2228","DBL"
"I20","H1975","SNG"
"I12","H1975","DBL"
"N6","A549","SNG"
"D6","H8383","DBL"
"B20","A549","DBL"
"O12","H1975","DBL"
"E15","HCC827","DBL"
"M6","A549","SNG"
"F1","H1975","SNG"
"M16","H2228","SNG"
"D3","H1975","DBL"
"I22","H2228","DBL"
"H11","H8383","SNG"
"I1","H1975","SNG"
"O3","H1975","DBL"
"L15","A549","DBL"
"A19","A549","SNG"
"B11","H1975","SNG"
"O22","A549","DBL"
"E19","HCC827","SNG"
"J2","A549","DBL"
"A11","H1975","DBL"
"K10","HCC827","SNG"
"I11","HCC827","DBL"
"N18","H2228","DBL"
"N12","H2228","SNG"
"E18","H8383","SNG"
"I2","H8383","DBL"
"L20","A549","DBL"
"G2","HCC827","DBL"
"C17","A549","DBL"
"N22","A549","DBL"
"D12","HCC827","DBL"
"J1","H2228","DBL"
"J13","A549","SNG"
"D20","H1975","SNG"
"N11","A549","DBL"
"B22","HCC827","DBL"
"H12","A549","DBL"
"D9","A549","SNG"
"H23","H1975","DBL"
"C9","A549","DBL"
"D7","H2228","DBL"
"H17","A549","SNG"
"M9","A549","DBL"
"G15","A549","SNG"
"O6","H2228","DBL"
"D2","A549","DBL"
"K24","H8383","SNG"
"G6","A549","SNG"
"B14","H2228","SNG"
"N15","H8383","DBL"
"A10","H1975","DBL"
"D19","H8383","SNG"
"A18","H8383","DBL"
"B18","H1975","DBL"
"B5","H1975","SNG"
"H22","A549","DBL"
"H7","A549","DBL"
"G3","HCC827","SNG"
"J14","HCC827","SNG"
"H3","H1975","SNG"
"E12","HCC827","DBL"
"G20","A549","SNG"
"L4","H8383","DBL"
"J11","H1975","SNG"
"F8","H1975","SNG"
"E23","H1975","DBL"
"L9","H8383","SNG"
"G18","HCC827","DBL"
"E17","H2228","DBL"
"L12","A549","DBL"
"O20","A549","DBL"
"J21","A549","DBL"
"B24","A549","DBL"
"L11","A549","SNG"
"I24","H8383","DBL"
"K21","HCC827","DBL"
"N7","A549","DBL"
"O18","HCC827","DBL"
"D10","HCC827","SNG"
"K23","H1975","DBL"
"B8","H8383","DBL"
"J17","HCC827","DBL"
"I16","A549","SNG"
"P9","H1975","SNG"
"J8","A549","DBL"
"D4","H8383","DBL"
"I3","H1975","SNG"
"L1","A549","SNG"
"I9","H8383","DBL"
"C4","H8383","SNG"
"O1","H1975","SNG"
"O16","H1975","DBL"
"C15","A549","SNG"
"A12","H1975","DBL"
"J20","A549","DBL"
"B7","H1975","DBL"
"I14","HCC827","DBL"
"F20","A549","DBL"
"A13","H1975","DBL"
"P16","H1975","DBL"
"J12","H1975","SNG"
"L7","HCC827","DBL"
"D24","H8383","DBL"
"O17","H2228","DBL"
"G7","H1975","SNG"
"M13","A549","DBL"
"J22","H1975","DBL"
"C22","HCC827","DBL"
"L13","H1975","SNG"
"D8","HCC827","DBL"
"B1","H1975","DBL"
"A6","H1975","DBL"
"O14","H8383","DBL"
"P8","H8383","DBL"
"F6","A549","DBL"
"F16","H1975","SNG"
"D13","H8383","DBL"
"A9","H2228","SNG"
"G4","HCC827","SNG"
"G9","A549","SNG"
"M10","H2228","SNG"
"I18","A549","DBL"
"M4","H2228","SNG"
"L22","HCC827","DBL"
"B10","H8383","DBL"
"K12","A549","SNG"
"A20","H8383","SNG"
"J24","H1975","DBL"
"N20","H1975","DBL"
"A17","HCC827","DBL"
"J6","H8383","SNG"
"M20","A549","DBL"
"O8","H2228","DBL"
"O2","A549","SNG"
"B9","H8383","DBL"
"C12","H1975","DBL"
"L18","A549","DBL"
"N1","H2228","SNG"
"B12","A549","DBL"
"F11","A549","DBL"
"N19","H8383","SNG"
"J19","H2228","DBL"
"H18","H1975","DBL"
"D5","H2228","SNG"
"G17","H8383","SNG"
"C14","H2228","DBL"
"K9","H8383","DBL"
"F17","A549","DBL"
"P14","H1975","SNG"
"H8","H2228","DBL"
"O13","A549","DBL"
"C3","H1975","DBL"
"N3","A549","SNG"
"H19","H2228","SNG"
"D15","H8383","SNG"
"C18","A549","DBL"
"E4","H1975","SNG"
"M8","H2228","DBL"
"G1","H2228","SNG"
"O9","A549","SNG"
"G23","A549","DBL"
"D11","H8383","SNG"
"M2","H2228","DBL"
"M5","H8383","SNG"
"G13","H8383","SNG"
"O10","H2228","SNG"
"A3","H2228","DBL"
"P5","H1975","SNG"
"J4","H1975","DBL"
"N16","H8383","DBL"
"C20","H8383","DBL"
"H6","A549","SNG"
"P13","A549","SNG"
"G19","HCC827","SNG"
"E16","HCC827","DBL"
"E6","H8383","DBL"
"F21","H1975","DBL"
"A1","H8383","SNG"
"G8","HCC827","SNG"
"F24","HCC827","DBL"
"K3","H2228","SNG"
"N23","H1975","DBL"
"P17","HCC827","DBL"
"N17","H1975","SNG"
"M1","A549","SNG"
"L24","H2228","DBL"
"A14","A549","SNG"
"A4","H8383","SNG"
"F4","H1975","DBL"
"I21","H2228","DBL"
"O11","H1975","SNG"
"B23","H1975","DBL"
"H4","H2228","DBL"
"E11","A549","SNG"
"D14","H8383","DBL"
"J3","A549","SNG"
"K18","H8383","SNG"
"B16","A549","SNG"
"G12","H8383","SNG"
"J5","A549","DBL"
"N2","H1975","DBL"
"F10","H1975","SNG"
"N21","H1975","DBL"
"H2","H1975","SNG"
"B17","A549","DBL"
"H16","H2228","SNG"
"G11","HCC827","DBL"
"F2","HCC827","DBL"
"P4","A549","DBL"
"F14","H8383","DBL"
"F18","A549","SNG"
"J9","H8383","SNG"
"F13","A549","DBL"
"O7","H2228","SNG"
"E10","H1975","SNG"
"C6","H8383","SNG"
"I4","A549","DBL"
"B21","H2228","SNG"
"J7","A549","DBL"
"A2","H1975","DBL"
"N10","H8383","SNG"
"D18","A549","SNG"
"M22","A549","DBL"
"D17","H8383","SNG"
"P6","A549","DBL"
"O24","H1975","DBL"
"A21","HCC827","DBL"
"E7","H2228","DBL"
"M17","HCC827","DBL"
"H14","A549","SNG"
"A5","A549","DBL"
"B13","H1975","DBL"
"K5","H8383","AMB"
"J23","A549","DBL"
"K20","A549","SNG"
"M3","A549","SNG"
"O5","H8383","SNG"
"B4","H1975","DBL"
"A23","A549","DBL"
"E14","HCC827","SNG"
"P19","HCC827","SNG"
"M11","A549","SNG"
"D16","H2228","DBL"
"C11","HCC827","SNG"
"A24","H2228","SNG"
"J16","H8383","SNG"
"A7","HCC827","SNG"
"O19","H2228","SNG"
"J15","H2228","SNG"
"C23","A549","DBL"
"H13","A549","DBL"
"I23","H2228","DBL"
"E13","A549","SNG"
"P15","A549","DBL"
"L17","A549","SNG"
"L5","H2228","SNG"
"N24","A549","DBL"
"E20","A549","DBL"
"K4","A549","DBL"
"K1","H1975","DBL"
"E22","A549","DBL"
"J18","HCC827","DBL"
"N4","H8383","SNG"
"E3","H1975","SNG"
"C21","H1975","DBL"
"E21","H2228","DBL"
"F12","H2228","SNG"
"L21","H8383","DBL"
"C19","A549","SNG"
"H1","A549","DBL"
"P7","A549","DBL"
"K11","H8383","DBL"
"M21","H1975","DBL"
"F22","A549","SNG"
"E2","H8383","SNG"
"L3","HCC827","DBL"
"M12","H2228","SNG"
"C13","A549","DBL"
"N13","H2228","DBL"
"M18","A549","DBL"
"G10","H2228","DBL"
"D22","HCC827","DBL"
"E1","A549","DBL"
"L23","A549","DBL"
"L8","A549","SNG"
"N9","HCC827","SNG"
"K17","A549","DBL"
"G14","H8383","SNG"
"C2","H1975","SNG"
