"cell_name","cell_line_demuxlet","demuxlet_cls"
"P10","A549","DBL"
"G22","HCC827","DBL"
"I13","H8383","DBL"
"H20","H8383","SNG"
"N14","A549","DBL"
"K14","H1975","DBL"
"I10","HCC827","DBL"
"I17","H8383","SNG"
"I6","HCC827","DBL"
"G16","HCC827","SNG"
"D1","H8383","DBL"
"F19","A549","DBL"
"F7","H8383","SNG"
"L2","H8383","SNG"
"P12","H1975","SNG"
"I7","HCC827","DBL"
"G24","H8383","DBL"
"F9","H2228","SNG"
"H24","A549","DBL"
"K2","H8383","SNG"
"M23","A549","SNG"
"K22","A549","DBL"
"D23","H8383","DBL"
"K8","HCC827","DBL"
"L19","A549","DBL"
"B19","H1975","SNG"
"N5","A549","SNG"
"G5","H1975","DBL"
"H21","A549","DBL"
"H15","A549","DBL"
"P22","H8383","SNG"
"E5","HCC827","DBL"
"K15","H2228","DBL"
"P3","H8383","SNG"
"C5","H1975","SNG"
"H10","H8383","SNG"
"P11","H1975","DBL"
"P18","A549","SNG"
"C7","H8383","SNG"
"K13","H2228","DBL"
"A22","H2228","DBL"
"M7","A549","SNG"
"C24","H2228","DBL"
"C10","H8383","DBL"
"K7","A549","SNG"
"A15","H8383","SNG"
"I5","H8383","SNG"
"O4","A549","SNG"
"B3","H8383","SNG"
"M24","H1975","DBL"
"I15","A549","SNG"
"M15","H8383","SNG"
"F23","H1975","DBL"
"A8","H1975","DBL"
"O15","H2228","SNG"
"A16","H8383","SNG"
"L6","A549","DBL"
"E8","H8383","SNG"
"L14","A549","SNG"
"F3","A549","SNG"
"J10","H8383","DBL"
"N8","A549","SNG"
"D21","A549","SNG"
"K19","HCC827","DBL"
"C16","H2228","DBL"
"K16","A549","AMB"
"H9","H8383","SNG"
"B2","H8383","SNG"
"E9","HCC827","SNG"
"O21","H8383","SNG"
"C1","H8383","SNG"
"H5","H1975","SNG"
"O23","H1975","DBL"
"G21","H1975","SNG"
"F5","A549","DBL"
"C8","H8383","SNG"
"L10","H1975","SNG"
"E24","H1975","SNG"
"I8","H1975","SNG"
"B6","A549","DBL"
"I20","H8383","SNG"
"I12","A549","DBL"
"N6","H2228","SNG"
"D6","H8383","DBL"
"B20","HCC827","SNG"
"O12","H8383","SNG"
"E15","A549","DBL"
"M6","H2228","SNG"
"F1","H8383","DBL"
"M16","H1975","SNG"
"D3","H8383","DBL"
"I22","HCC827","DBL"
"H11","H1975","SNG"
"I1","H2228","SNG"
"O3","A549","DBL"
"L15","A549","DBL"
"A19","H1975","SNG"
"B11","A549","SNG"
"O22","A549","DBL"
"E19","A549","DBL"
"J2","H1975","DBL"
"A11","A549","DBL"
"K10","A549","DBL"
"I11","A549","DBL"
"N18","HCC827","DBL"
"N12","H8383","DBL"
"E18","A549","SNG"
"I2","A549","DBL"
"L20","A549","DBL"
"G2","A549","DBL"
"C17","HCC827","DBL"
"N22","H8383","DBL"
"D12","HCC827","SNG"
"J1","HCC827","SNG"
"J13","HCC827","SNG"
"D20","H1975","SNG"
"N11","H2228","DBL"
"B22","HCC827","DBL"
"H12","HCC827","DBL"
"D9","H2228","SNG"
"H23","A549","DBL"
"C9","H8383","SNG"
"D7","A549","DBL"
"H17","A549","DBL"
"M9","H2228","DBL"
"G15","A549","DBL"
"O6","A549","SNG"
"D2","H2228","DBL"
"K24","A549","SNG"
"G6","HCC827","SNG"
"B14","H1975","DBL"
"N15","A549","DBL"
"A10","H1975","SNG"
"D19","H8383","SNG"
"A18","H8383","SNG"
"B18","A549","DBL"
"B5","A549","DBL"
"H22","H8383","DBL"
"H7","H8383","SNG"
"G3","A549","DBL"
"J14","A549","DBL"
"H3","H1975","DBL"
"E12","H1975","SNG"
"G20","H1975","SNG"
"L4","H1975","DBL"
"J11","A549","DBL"
"F8","A549","DBL"
"E23","HCC827","DBL"
"L9","H1975","DBL"
"G18","A549","DBL"
"E17","A549","DBL"
