"cell_name","cell_line_demuxlet","demuxlet_cls"
"CELL_001266","H1975","SNG"
"CELL_001391","H2228","DBL"
"CELL_002843","HCC827","DBL"
"CELL_000432","H2228","SNG"
"CELL_001720","HCC827","DBL"
"CELL_001233","HCC827","SNG"
"CELL_003671","A549","DBL"
"CELL_001643","HCC827","DBL"
"CELL_002889","HCC827","DBL"
"CELL_003475","H1975","DBL"
"CELL_002570","HCC827","DBL"
"CELL_003883","HCC827","DBL"
"CELL_001954","HCC827","DBL"
"CELL_002894","HCC827","DBL"
"CELL_002616","HCC827","DBL"
"CELL_003356","H2228","DBL"
"CELL_002094","HCC827","DBL"
"CELL_003329","HCC827","DBL"
"CELL_001885","HCC827","DBL"
"CELL_003453","H2228","DBL"
"CELL_000452","H1975","SNG"
"CELL_003103","H2228","DBL"
"CELL_002886","H1975","DBL"
"CELL_002161","H1975","DBL"
"CELL_003109","H1975","DBL"
"CELL_001409","H1975","DBL"
"CELL_000268","H1975","SNG"
"CELL_003025","HCC827","DBL"
"CELL_003830","HCC827","DBL"
"CELL_003146","HCC827","DBL"
"CELL_000890","H2228","SNG"
"CELL_000142","H2228","SNG"
"CELL_001860","H1975","DBL"
"CELL_002413","H1975","DBL"
"CELL_003849","HCC827","DBL"
"CELL_003428","HCC827","DBL"
"CELL_003344","H2228","DBL"
"CELL_002296","HCC827","DBL"
"CELL_003062","H1975","DBL"
"CELL_001972","H2228","DBL"
"CELL_001280","HCC827","DBL"
"CELL_002797","HCC827","DBL"
"CELL_003445","H1975","DBL"
"CELL_001701","H1975","DBL"
"CELL_002118","H1975","SNG"
"CELL_003155","HCC827","DBL"
"CELL_000518","H1975","SNG"
"CELL_002441","HCC827","DBL"
"CELL_002553","H2228","DBL"
"CELL_003430","HCC827","DBL"
"CELL_000524","H1975","SNG"
"CELL_002461","H1975","DBL"
"CELL_001633","HCC827","DBL"
"CELL_003400","H1975","DBL"
"CELL_002222","H2228","DBL"
"CELL_003427","H1975","DBL"
"CELL_002592","HCC827","DBL"
"CELL_001504","HCC827","DBL"
"CELL_003848","H1975","DBL"
"CELL_003648","HCC827","SNG"
"CELL_000459","H1975","SNG"
"CELL_000043","HCC827","SNG"
"CELL_002308","H1975","DBL"
"CELL_000698","H2228","SNG"
"CELL_002715","H1975","DBL"
"CELL_002791","HCC827","DBL"
"CELL_002712","HCC827","DBL"
"CELL_000659","H2228","SNG"
"CELL_000671","H1975","SNG"
"CELL_001705","HCC827","DBL"
"CELL_001904","H1975","DBL"
"CELL_002087","H1975","DBL"
"CELL_000383","HCC827","SNG"
"CELL_003748","HCC827","DBL"
"CELL_000938","H1975","SNG"
"CELL_000082","H1975","SNG"
"CELL_003647","H1975","DBL"
"CELL_002563","H1975","SNG"
"CELL_003972","H1975","DBL"
"CELL_001879","HCC827","DBL"
"CELL_003328","H1975","DBL"
"CELL_002097","H2228","DBL"
"CELL_002329","HCC827","DBL"
"CELL_002573","HCC827","DBL"
"CELL_000097","H1975","SNG"
"CELL_001434","HCC827","SNG"
"CELL_000071","HCC827","SNG"
"CELL_001749","H1975","DBL"
"CELL_000158","HCC827","SNG"
"CELL_002921","H1975","DBL"
"CELL_000261","HCC827","SNG"
"CELL_003102","H1975","DBL"
"CELL_001349","H1975","DBL"
"CELL_001384","H1975","DBL"
"CELL_001562","HCC827","DBL"
"CELL_002432","HCC827","DBL"
"CELL_000114","H1975","SNG"
"CELL_001009","HCC827","SNG"
"CELL_002165","HCC827","DBL"
"CELL_002306","H1975","DBL"
"CELL_003024","H1975","DBL"
"CELL_001627","HCC827","DBL"
"CELL_003600","HCC827","DBL"
"CELL_000660","HCC827","SNG"
"CELL_001079","HCC827","SNG"
"CELL_003223","HCC827","DBL"
"CELL_003067","HCC827","DBL"
"CELL_002545","HCC827","DBL"
"CELL_002796","H1975","DBL"
"CELL_000792","H2228","SNG"
"CELL_003406","H1975","DBL"
"CELL_002313","H1975","DBL"
"CELL_001764","HCC827","DBL"
"CELL_000574","HCC827","SNG"
"CELL_000693","H1975","SNG"
"CELL_003044","HCC827","DBL"
"CELL_001919","H1975","DBL"
"CELL_002071","HCC827","DBL"
"CELL_002815","H2228","DBL"
"CELL_000091","H1975","SNG"
"CELL_001361","H1975","SNG"
"CELL_000944","H1975","SNG"
"CELL_001470","HCC827","DBL"
"CELL_000569","H2228","SNG"
"CELL_003806","H1975","DBL"
"CELL_000165","HCC827","SNG"
"CELL_000112","HCC827","SNG"
"CELL_001769","HCC827","SNG"
"CELL_000211","H1975","SNG"
"CELL_003210","H1975","DBL"
"CELL_001235","HCC827","SNG"
"CELL_001179","H1975","SNG"
"CELL_001286","H1975","SNG"
"CELL_002375","HCC827","DBL"
"CELL_000818","H2228","SNG"
"CELL_003486","H1975","DBL"
"CELL_001062","HCC827","SNG"
"CELL_002230","H1975","DBL"
"CELL_001824","H1975","DBL"
"CELL_002036","HCC827","DBL"
"CELL_003185","HCC827","DBL"
"CELL_000495","H2228","SNG"
"CELL_001978","H1975","DBL"
"CELL_001615","HCC827","SNG"
"CELL_002679","HCC827","DBL"
"CELL_000989","HCC827","SNG"
"CELL_003009","H2228","DBL"
"CELL_000282","H2228","SNG"
"CELL_000123","HCC827","SNG"
"CELL_002664","H1975","DBL"
"CELL_001549","HCC827","DBL"
"CELL_000787","HCC827","SNG"
"CELL_002440","HCC827","DBL"
"CELL_000308","H2228","SNG"
"CELL_002649","H1975","DBL"
"CELL_002925","H1975","DBL"
"CELL_003843","HCC827","DBL"
"CELL_002958","HCC827","DBL"
"CELL_002972","HCC827","DBL"
"CELL_001389","HCC827","DBL"
"CELL_002280","H2228","DBL"
"CELL_000657","H1975","SNG"
"CELL_000822","H1975","DBL"
"CELL_000065","H2228","SNG"
"CELL_003789","HCC827","DBL"
"CELL_000235","H1975","SNG"
"CELL_001951","HCC827","DBL"
"CELL_001754","H1975","DBL"
"CELL_001037","H1975","SNG"
"CELL_000276","H1975","SNG"
"CELL_000105","H1975","SNG"
"CELL_002284","HCC827","SNG"
"CELL_002041","H1975","DBL"
"CELL_003893","HCC827","DBL"
"CELL_003288","H1975","DBL"
"CELL_000277","HCC827","SNG"
"CELL_003942","H1975","DBL"
"CELL_002624","H1975","DBL"
"CELL_000669","H2228","SNG"
"CELL_000550","HCC827","SNG"
"CELL_000171","HCC827","SNG"
"CELL_002099","HCC827","DBL"
"CELL_003368","HCC827","DBL"
"CELL_003383","HCC827","DBL"
"CELL_001135","H2228","DBL"
"CELL_002951","HCC827","DBL"
"CELL_003556","HCC827","DBL"
"CELL_002126","HCC827","SNG"
"CELL_002897","HCC827","DBL"
"CELL_000334","HCC827","SNG"
"CELL_003129","HCC827","DBL"
"CELL_002762","HCC827","DBL"
"CELL_003426","H2228","DBL"
"CELL_003439","H1975","DBL"
"CELL_002790","HCC827","DBL"
"CELL_003259","HCC827","DBL"
"CELL_001621","HCC827","DBL"
"CELL_001155","HCC827","DBL"
"CELL_001747","HCC827","DBL"
"CELL_001263","HCC827","SNG"
"CELL_000730","H1975","SNG"
"CELL_003334","H1975","DBL"
"CELL_002123","HCC827","DBL"
"CELL_003213","HCC827","SNG"
"CELL_000608","H1975","SNG"
"CELL_001964","H1975","DBL"
"CELL_003255","HCC827","DBL"
"CELL_001394","HCC827","SNG"
"CELL_002544","HCC827","DBL"
"CELL_003892","H1975","DBL"
"CELL_003543","H2228","DBL"
"CELL_002989","H1975","DBL"
"CELL_000045","HCC827","SNG"
"CELL_001872","HCC827","DBL"
"CELL_001376","H1975","SNG"
"CELL_001696","H1975","DBL"
"CELL_003613","H2228","DBL"
"CELL_002137","HCC827","DBL"
"CELL_000015","H1975","SNG"
"CELL_002356","HCC827","DBL"
"CELL_003013","HCC827","DBL"
"CELL_001752","HCC827","DBL"
"CELL_001711","H2228","DBL"
"CELL_002684","H1975","DBL"
"CELL_003287","H2228","DBL"
"CELL_002228","HCC827","DBL"
"CELL_003012","HCC827","DBL"
"CELL_001891","HCC827","DBL"
"CELL_001507","HCC827","DBL"
"CELL_002998","HCC827","DBL"
"CELL_000232","HCC827","SNG"
"CELL_001309","HCC827","DBL"
"CELL_003801","HCC827","DBL"
"CELL_001061","H1975","DBL"
"CELL_002271","H1975","DBL"
"CELL_001728","HCC827","DBL"
"CELL_000089","H1975","SNG"
"CELL_000401","H1975","SNG"
"CELL_001320","H1975","SNG"
"CELL_003522","H2228","DBL"
"CELL_001147","HCC827","SNG"
"CELL_001635","H1975","DBL"
"CELL_000646","H1975","SNG"
"CELL_003891","H1975","DBL"
"CELL_002398","H2228","DBL"
"CELL_001271","H1975","SNG"
"CELL_003971","HCC827","DBL"
"CELL_002562","H1975","DBL"
"CELL_001372","HCC827","SNG"
"CELL_001445","HCC827","DBL"
"CELL_003847","HCC827","DBL"
"CELL_001325","H1975","SNG"
"CELL_000208","H2228","SNG"
"CELL_001783","HCC827","DBL"
"CELL_001304","H1975","DBL"
"CELL_001550","H1975","DBL"
"CELL_003993","HCC827","DBL"
"CELL_001172","H1975","SNG"
"CELL_002066","H1975","DBL"
"CELL_000606","H1975","SNG"
"CELL_003510","H1975","DBL"
"CELL_001294","HCC827","SNG"
"CELL_003298","HCC827","DBL"
"CELL_002264","H1975","DBL"
"CELL_000307","H2228","SNG"
"CELL_002785","H1975","DBL"
"CELL_002517","H1975","DBL"
"CELL_003174","HCC827","DBL"
"CELL_001307","H1975","SNG"
"CELL_003209","H1975","DBL"
"CELL_002596","HCC827","DBL"
"CELL_000176","H2228","SNG"
"CELL_003122","A549","DBL"
"CELL_003023","HCC827","DBL"
"CELL_003343","H1975","DBL"
"CELL_001801","HCC827","DBL"
"CELL_000942","HCC827","SNG"
"CELL_002346","HCC827","DBL"
"CELL_002803","HCC827","DBL"
"CELL_000244","HCC827","SNG"
"CELL_003422","HCC827","DBL"
"CELL_001762","H1975","SNG"
"CELL_003066","HCC827","DBL"
"CELL_000968","HCC827","SNG"
"CELL_000371","HCC827","SNG"
"CELL_002683","H2228","DBL"
"CELL_000594","H2228","SNG"
"CELL_001685","HCC827","DBL"
"CELL_000876","H1975","SNG"
"CELL_002756","H1975","DBL"
"CELL_002619","HCC827","DBL"
"CELL_002639","HCC827","DBL"
"CELL_003084","HCC827","DBL"
"CELL_002191","HCC827","DBL"
"CELL_003218","HCC827","DBL"
"CELL_002520","HCC827","DBL"
"CELL_002057","H1975","DBL"
"CELL_003072","H1975","DBL"
"CELL_000728","H1975","SNG"
"CELL_002548","H1975","DBL"
"CELL_002707","HCC827","DBL"
"CELL_003509","HCC827","DBL"
"CELL_000838","H2228","SNG"
"CELL_000351","HCC827","SNG"
"CELL_002325","HCC827","DBL"
"CELL_000508","H1975","SNG"
"CELL_002808","H1975","DBL"
"CELL_001050","H1975","SNG"
"CELL_002591","H1975","DBL"
"CELL_003267","HCC827","DBL"
"CELL_003233","H1975","DBL"
"CELL_000551","H2228","SNG"
"CELL_003413","H1975","DBL"
"CELL_003767","H1975","DBL"
"CELL_000399","H2228","SNG"
"CELL_002502","HCC827","DBL"
"CELL_002569","H2228","DBL"
"CELL_001847","HCC827","DBL"
"CELL_003752","H1975","DBL"
"CELL_003061","H2228","DBL"
"CELL_003566","HCC827","DBL"
"CELL_001887","HCC827","DBL"
"CELL_003474","HCC827","DBL"
"CELL_000403","H1975","SNG"
"CELL_000773","H1975","SNG"
"CELL_003145","HCC827","DBL"
"CELL_003043","H1975","DBL"
"CELL_000826","HCC827","SNG"
"CELL_001371","HCC827","SNG"
"CELL_003941","HCC827","DBL"
"CELL_000817","HCC827","SNG"
"CELL_000374","H2228","SNG"
"CELL_002344","HCC827","DBL"
"CELL_000473","H2228","SNG"
"CELL_000889","H1975","SNG"
"CELL_002654","H1975","DBL"
"CELL_003842","H1975","DBL"
"CELL_001447","HCC827","DBL"
"CELL_000725","H1975","SNG"
"CELL_003275","HCC827","DBL"
"CELL_000972","H2228","SNG"
"CELL_003342","HCC827","DBL"
"CELL_003983","HCC827","DBL"
"CELL_002259","H1975","DBL"
"CELL_002221","H1975","DBL"
"CELL_003676","HCC827","DBL"
"CELL_000411","H2228","SNG"
"CELL_001605","H1975","DBL"
"CELL_003859","HCC827","DBL"
"CELL_000533","H2228","SNG"
"CELL_001837","H1975","DBL"
"CELL_001045","HCC827","SNG"
"CELL_003599","HCC827","DBL"
"CELL_003887","H1975","DBL"
"CELL_004000","H1975","DBL"
"CELL_001888","H1975","DBL"
"CELL_002166","HCC827","DBL"
"CELL_000878","H2228","SNG"
"CELL_001957","H2228","DBL"
"CELL_002267","H1975","DBL"
"CELL_001645","HCC827","DBL"
"CELL_000325","H2228","SNG"
"CELL_003015","HCC827","DBL"
"CELL_000177","H2228","SNG"
"CELL_001560","H1975","DBL"
"CELL_003481","HCC827","DBL"
"CELL_003376","H2228","DBL"
"CELL_001443","HCC827","DBL"
"CELL_002874","HCC827","DBL"
"CELL_003060","HCC827","DBL"
"CELL_000520","H2228","SNG"
"CELL_000627","H1975","SNG"
"CELL_001128","H1975","SNG"
"CELL_001490","H1975","DBL"
"CELL_002297","H1975","DBL"
"CELL_000897","H2228","SNG"
"CELL_001113","H2228","SNG"
"CELL_003761","HCC827","DBL"
"CELL_002853","HCC827","DBL"
"CELL_001557","HCC827","DBL"
