"cell_name","wall_position","H1975","H2228","HCC827","poor_quality","traj","group"
"Mix3_A24","A24",NA,NA,NA,"NO","NO","NA_NA_NA"
"Mix3_A23","A23",NA,NA,NA,"NO","NO","NA_NA_NA"
"Mix3_A22","A22",0,0,9,"NO","YES","0_0_9"
"Mix3_A21","A21",0,0,9,"NO","YES","0_0_9"
"Mix3_A20","A20",0,0,9,"NO","YES","0_0_9"
"Mix3_A19","A19",0,0,9,"NO","YES","0_0_9"
"Mix3_A18","A18",0,0,9,"NO","YES","0_0_9"
"Mix3_A17","A17",0,0,9,"NO","YES","0_0_9"
"Mix3_A16","A16",0,0,9,"NO","YES","0_0_9"
"Mix3_A15","A15",0,0,9,"NO","YES","0_0_9"
"Mix3_A14","A14",0,0,9,"NO","YES","0_0_9"
"Mix3_A13","A13",0,0,9,"NO","YES","0_0_9"
"Mix3_A12","A12",0,0,9,"NO","YES","0_0_9"
"Mix3_A11","A11",0,0,9,"NO","YES","0_0_9"
"Mix3_A10","A10",0,0,9,"NO","YES","0_0_9"
"Mix3_A9","A9",0,0,9,"NO","YES","0_0_9"
"Mix3_A8","A8",0,0,9,"NO","YES","0_0_9"
"Mix3_A7","A7",0,0,9,"NO","YES","0_0_9"
"Mix3_A6","A6",0,0,9,"NO","YES","0_0_9"
"Mix3_A5","A5",0,0,9,"NO","YES","0_0_9"
"Mix3_A4","A4",0,0,9,"NO","YES","0_0_9"
"Mix3_A3","A3",0,0,9,"NO","YES","0_0_9"
"Mix3_A2","A2",NA,NA,NA,"NO","NO","NA_NA_NA"
"Mix3_A1","A1",NA,NA,NA,"NO","NO","NA_NA_NA"
"Mix3_B24","B24",0,1,8,"NO","NO","1_0_8"
"Mix3_B23","B23",0,1,8,"NO","NO","1_0_8"
"Mix3_B22","B22",0,1,8,"NO","NO","1_0_8"
"Mix3_B21","B21",0,1,8,"NO","NO","1_0_8"
"Mix3_B20","B20",0,1,8,"NO","NO","1_0_8"
"Mix3_B19","B19",0,2,7,"NO","NO","2_0_7"
"Mix3_B18","B18",0,2,7,"NO","NO","2_0_7"
"Mix3_B17","B17",0,2,7,"NO","NO","2_0_7"
"Mix3_B16","B16",0,2,7,"NO","NO","2_0_7"
"Mix3_B15","B15",0,2,7,"NO","NO","2_0_7"
"Mix3_B14","B14",0,3,6,"NO","NO","3_0_6"
"Mix3_B13","B13",0,3,6,"NO","NO","3_0_6"
"Mix3_B12","B12",0,3,6,"NO","NO","3_0_6"
"Mix3_B11","B11",0,3,6,"NO","NO","3_0_6"
"Mix3_B10","B10",0,3,6,"NO","NO","3_0_6"
"Mix3_B9","B9",0,4,5,"NO","NO","4_0_5"
"Mix3_B8","B8",0,4,5,"NO","NO","4_0_5"
"Mix3_B7","B7",0,4,5,"NO","NO","4_0_5"
"Mix3_B6","B6",0,4,5,"NO","NO","4_0_5"
"Mix3_B5","B5",0,4,5,"NO","NO","4_0_5"
"Mix3_B4","B4",0,5,4,"NO","NO","5_0_4"
"Mix3_B3","B3",0,5,4,"NO","NO","5_0_4"
"Mix3_B2","B2",0,5,4,"NO","NO","5_0_4"
"Mix3_B1","B1",0,5,4,"NO","NO","5_0_4"
"Mix3_C24","C24",0,5,4,"NO","NO","5_0_4"
"Mix3_C23","C23",0,6,3,"NO","NO","6_0_3"
"Mix3_C22","C22",0,6,3,"NO","NO","6_0_3"
"Mix3_C21","C21",0,6,3,"NO","NO","6_0_3"
"Mix3_C20","C20",0,6,3,"NO","NO","6_0_3"
"Mix3_C19","C19",0,6,3,"NO","NO","6_0_3"
"Mix3_C18","C18",0,7,2,"NO","NO","7_0_2"
"Mix3_C17","C17",0,7,2,"NO","NO","7_0_2"
"Mix3_C16","C16",0,7,2,"NO","NO","7_0_2"
"Mix3_C15","C15",0,7,2,"NO","NO","7_0_2"
"Mix3_C14","C14",0,7,2,"NO","NO","7_0_2"
"Mix3_C13","C13",0,8,1,"NO","NO","8_0_1"
"Mix3_C12","C12",0,8,1,"NO","NO","8_0_1"
"Mix3_C11","C11",0,8,1,"NO","NO","8_0_1"
"Mix3_C10","C10",0,8,1,"NO","NO","8_0_1"
"Mix3_C9","C9",0,8,1,"NO","NO","8_0_1"
"Mix3_C8","C8",0,9,0,"NO","YES","9_0_0"
"Mix3_C7","C7",0,9,0,"NO","YES","9_0_0"
"Mix3_C6","C6",0,9,0,"NO","YES","9_0_0"
"Mix3_C5","C5",0,9,0,"NO","YES","9_0_0"
"Mix3_C4","C4",0,9,0,"NO","YES","9_0_0"
"Mix3_C3","C3",0,9,0,"NO","YES","9_0_0"
"Mix3_C2","C2",0,9,0,"NO","YES","9_0_0"
