"cell_name","wall_position","H1975","H2228","HCC827","poor_quality","traj","group"
"Mix1_A24","A24",NA,NA,NA,"NO","NO","NA_NA_NA"
"Mix1_A23","A23",NA,NA,NA,"NO","NO","NA_NA_NA"
"Mix1_A22","A22",0,0,9,"NO","YES","0_0_9"
"Mix1_A21","A21",0,0,9,"NO","YES","0_0_9"
"Mix1_A20","A20",0,0,9,"NO","YES","0_0_9"
"Mix1_A19","A19",0,0,9,"NO","YES","0_0_9"
"Mix1_A18","A18",0,0,9,"NO","YES","0_0_9"
"Mix1_A17","A17",0,0,9,"NO","YES","0_0_9"
"Mix1_A16","A16",0,0,9,"NO","YES","0_0_9"
"Mix1_A15","A15",0,0,9,"NO","YES","0_0_9"
"Mix1_A14","A14",0,0,9,"NO","YES","0_0_9"
"Mix1_A13","A13",0,0,9,"NO","YES","0_0_9"
"Mix1_A12","A12",0,0,9,"NO","YES","0_0_9"
"Mix1_A11","A11",0,0,9,"NO","YES","0_0_9"
"Mix1_A10","A10",0,0,9,"NO","YES","0_0_9"
"Mix1_A9","A9",0,0,9,"NO","YES","0_0_9"
"Mix1_A8","A8",0,0,9,"NO","YES","0_0_9"
"Mix1_A7","A7",0,0,9,"NO","YES","0_0_9"
"Mix1_A6","A6",0,0,9,"NO","YES","0_0_9"
"Mix1_A5","A5",0,0,9,"NO","YES","0_0_9"
"Mix1_A4","A4",0,0,9,"NO","YES","0_0_9"
"Mix1_A3","A3",0,0,9,"NO","YES","0_0_9"
"Mix1_A2","A2",NA,NA,NA,"NO","NO","NA_NA_NA"
"Mix1_A1","A1",NA,NA,NA,"NO","NO","NA_NA_NA"
"Mix1_B24","B24",0,1,8,"NO","NO","1_0_8"
"Mix1_B23","B23",0,1,8,"NO","NO","1_0_8"
"Mix1_B22","B22",0,1,8,"NO","NO","1_0_8"
"Mix1_B21","B21",0,1,8,"NO","NO","1_0_8"
"Mix1_B20","B20",0,1,8,"NO","NO","1_0_8"
"Mix1_B19","B19",0,2,7,"NO","NO","2_0_7"
"Mix1_B18","B18",0,2,7,"NO","NO","2_0_7"
"Mix1_B17","B17",0,2,7,"NO","NO","2_0_7"
"Mix1_B16","B16",0,2,7,"NO","NO","2_0_7"
"Mix1_B15","B15",0,2,7,"NO","NO","2_0_7"
"Mix1_B14","B14",0,3,6,"NO","NO","3_0_6"
"Mix1_B13","B13",0,3,6,"NO","NO","3_0_6"
"Mix1_B12","B12",0,3,6,"NO","NO","3_0_6"
"Mix1_B11","B11",0,3,6,"NO","NO","3_0_6"
"Mix1_B10","B10",0,3,6,"NO","NO","3_0_6"
"Mix1_B9","B9",0,4,5,"NO","NO","4_0_5"
"Mix1_B8","B8",0,4,5,"NO","NO","4_0_5"
"Mix1_B7","B7",0,4,5,"NO","NO","4_0_5"
"Mix1_B6","B6",0,4,5,"NO","NO","4_0_5"
"Mix1_B5","B5",0,4,5,"NO","NO","4_0_5"
"Mix1_B4","B4",0,5,4,"NO","NO","5_0_4"
"Mix1_B3","B3",0,5,4,"NO","NO","5_0_4"
"Mix1_B2","B2",0,5,4,"NO","NO","5_0_4"
"Mix1_B1","B1",0,5,4,"NO","NO","5_0_4"
"Mix1_C24","C24",0,5,4,"NO","NO","5_0_4"
"Mix1_C23","C23",0,6,3,"NO","NO","6_0_3"
"Mix1_C22","C22",0,6,3,"NO","NO","6_0_3"
"Mix1_C21","C21",0,6,3,"NO","NO","6_0_3"
"Mix1_C20","C20",0,6,3,"NO","NO","6_0_3"
"Mix1_C19","C19",0,6,3,"NO","NO","6_0_3"
"Mix1_C18","C18",0,7,2,"NO","NO","7_0_2"
"Mix1_C17","C17",0,7,2,"NO","NO","7_0_2"
"Mix1_C16","C16",0,7,2,"NO","NO","7_0_2"
"Mix1_C15","C15",0,7,2,"NO","NO","7_0_2"
"Mix1_C14","C14",0,7,2,"NO","NO","7_0_2"
"Mix1_C13","C13",0,8,1,"NO","NO","8_0_1"
"Mix1_C12","C12",0,8,1,"NO","NO","8_0_1"
"Mix1_C11","C11",0,8,1,"NO","NO","8_0_1"
"Mix1_C10","C10",0,8,1,"NO","NO","8_0_1"
"Mix1_C9","C9",0,8,1,"NO","NO","8_0_1"
"Mix1_C8","C8",0,9,0,"NO","YES","9_0_0"
"Mix1_C7","C7",0,9,0,"NO","YES","9_0_0"
"Mix1_C6","C6",0,9,0,"NO","YES","9_0_0"
"Mix1_C5","C5",0,9,0,"NO","YES","9_0_0"
"Mix1_C4","C4",0,9,0,"NO","YES","9_0_0"
"Mix1_C3","C3",0,9,0,"NO","YES","9_0_0"
"Mix1_C2","C2",0,9,0,"NO","YES","9_0_0"
"Mix1_C1","C1",0,9,0,"NO","YES","9_0_0"
"Mix1_D24","D24",0,9,0,"NO","YES","9_0_0"
"Mix1_D23","D23",0,9,0,"NO","YES","9_0_0"
"Mix1_D22","D22",0,9,0,"NO","YES","9_0_0"
"Mix1_D21","D21",0,9,0,"NO","YES","9_0_0"
"Mix1_D20","D20",0,9,0,"NO","YES","9_0_0"
