unaligned aligned_unmapped mapped_to_exon mapped_to_intron ambiguous_mapping mapped_to_ERCC mapped_to_MT number_of_genes total_count_per_cell non_ERCC_percent non_mt_percent non_ribo_percent outliers total_features log10_total_features total_counts log10_total_counts pct_counts_top_50_features pct_counts_top_100_features pct_counts_top_200_features pct_counts_top_500_features total_features_endogenous log10_total_features_endogenous total_counts_endogenous log10_total_counts_endogenous pct_counts_endogenous pct_counts_top_50_features_endogenous pct_counts_top_100_features_endogenous pct_counts_top_200_features_endogenous pct_counts_top_500_features_endogenous total_features_feature_control log10_total_features_feature_control total_counts_feature_control log10_total_counts_feature_control pct_counts_feature_control pct_counts_top_50_features_feature_control pct_counts_top_100_features_feature_control total_features_ercc log10_total_features_ercc total_counts_ercc log10_total_counts_ercc pct_counts_ercc pct_counts_top_50_features_ercc total_features_mt log10_total_features_mt total_counts_mt log10_total_counts_mt pct_counts_mt total_features_rbp log10_total_features_rbp total_counts_rbp log10_total_counts_rbp pct_counts_rbp pct_counts_top_50_features_rbp is_cell_control Seurat
33756 3120 53057 6394 1881 476 9481 4773 16430 0.991296408404567 0.805599512595496 0.878696969752301 FALSE 4773 3.67888241467074 16430 4.21566399564845 23.1466828971394 30.9068776628119 39.9330493000609 53.7553256238588 4713 3.67338957818831 14369 4.15745676813423 87.4558734023128 16.514719187139 24.2605609297794 33.5165982323057 48.4097710348667 60 1.78532983501077 2061 3.3142886609475 12.5441265976872 99.5147986414362 100 18 1.27875360095283 143 2.15836249209525 0.870359099208764 100 22 1.36172783601759 1879 3.27415784926368 11.4363968350578 20 1.32221929473392 39 1.60205999132796 0.237370663420572 100 FALSE 0
112059 13284 256735 64047 6139 625 9204 9950 73088 0.997277254679663 0.872523533155576 0.927511913376763 FALSE 9950 3.99786672623914 73088 4.86385201992949 12.2359347635727 18.3080669877408 26.5583953590193 40.7057246059545 9856 3.99374475655446 70634 4.8490199494984 96.6424036777583 11.7238157261376 17.6812866324999 25.8175949259563 39.9085426281961 94 1.97772360528885 2454 3.39005149645899 3.35759632224168 96.1695191524042 100 17 1.25527250510331 199 2.30102999566398 0.272274518388792 100 21 1.34242268082221 1923 3.28420506770179 2.63107486865149 56 1.75587485567249 332 2.52244423350632 0.454246935201401 98.1927710843374 FALSE 1
56617 6801 102027 42009 2669 684 9216 6907 31179 0.993392988552105 0.846723756102914 0.901856729896171 FALSE 6907 3.83935232889542 31179 4.49387611085282 15.9819109015684 22.9866256133936 31.9958946726964 46.0470188267744 6822 3.83397537127991 28918 4.46118327126459 92.7483241925655 13.178643059686 20.1258731585863 28.8989556677502 43.3017497752265 85 1.93449845124357 2261 3.35449260058944 7.25167580743449 97.7885891198585 100 19 1.30102999566398 206 2.31597034545692 0.660701112928574 100 23 1.38021124171161 1918 3.28307497473547 6.15157638153886 43 1.64345267648619 137 2.13987908640124 0.439398312967061 100 FALSE 2
59017 7080 120423 40772 2963 606 3995 7731 34288 0.994692020241865 0.878353942814292 0.925396370334703 FALSE 7731 3.88829184535652 34288 4.53515481959104 12.7828978068129 19.0533131124592 27.2573495100327 41.0143490433971 7652 3.88383171332945 33064 4.51936852704 96.4302379841344 12.3094604403581 18.3855552867167 26.4547544156787 40.0768207113477 79 1.90308998699194 1224 3.08813608870055 3.56976201586561 96.8137254901961 100 18 1.27875360095283 182 2.26245108973043 0.530797946803546 100 19 1.30102999566398 903 2.95616843047536 2.63357442837144 42 1.63346845557959 139 2.14612803567824 0.405389640690621 100 FALSE 1
92526 10093 180806 46027 4641 737 34675 8011 48246 0.995377854952664 0.820441072665 0.903701673982988 FALSE 8011 3.90374094062154 48246 4.6834703140746 19.810968784977 27.0654562036231 35.8143680305103 49.0403349500477 7916 3.89856064493971 42689 4.63032615480395 88.481946689881 13.3875237180538 20.6727728454637 29.6399540865328 43.7630302888332 95 1.98227123303957 5557 3.74491854244135 11.518053310119 98.884290084578 100 16 1.23044892137827 223 2.35024801833416 0.462214484102309 100 30 1.49136169383427 5186 3.71491624799358 10.7490776437425 49 1.69897000433602 148 2.17318626841227 0.306761182274178 100 FALSE 2
90225 7468 135178 40956 3981 693 4006 8077 39809 0.995026250095449 0.867215955972967 0.8985151853814 FALSE 8077 3.90730384883397 39809 4.5999921775841 12.0173830038434 18.02356251099 26.270441357482 39.8201411741064 7992 3.90270981296988 38431 4.58469298572281 96.5384711999799 11.5531732195363 17.4676693294476 25.5184616585569 38.9815513517733 85 1.93449845124357 1378 3.13956426617585 3.4615288000201 96.44412191582 100 20 1.32221929473392 198 2.29885307640971 0.497374965460072 100 19 1.30102999566398 984 2.99343623049761 2.47180285865005 46 1.67209785793572 196 2.29446622616159 0.49235097590997 100 FALSE 0
113156 9435 244766 31387 5731 462 39069 9684 70653 0.997551413103824 0.85314140930277 0.937383984065222 FALSE 9684 3.98609962505513 70653 4.84913675399424 16.2611637156242 22.4420760618799 30.1445090795861 43.2026948607986 9597 3.9821807455964 64615 4.81034006987327 91.4540076146802 11.7759034279966 17.6754623539426 25.5281281436199 39.2339240114524 87 1.94448267215017 6038 3.78096502960832 8.5459923853198 98.675057966214 100 13 1.14612803567824 173 2.2405492482826 0.244858675498563 100 25 1.41497334797082 5550 3.74437122733186 7.85529276888455 49 1.69897000433602 315 2.4996870826184 0.445840940936691 100 FALSE 1
117314 14163 246667 71350 6308 772 5425 9825 70361 0.996631656600015 0.866218501603698 0.907832334982116 FALSE 9825 3.9923767597988 70361 4.84733817553555 11.3670925654837 17.391736899703 25.4786032034792 39.2618069669277 9730 3.98815747255675 68573 4.83615948309905 97.4588195164935 11.1632858413661 17.1962725854199 25.1906727137503 38.8855672057515 95 1.98227123303957 1788 3.25261034056737 2.54118048350649 95.1342281879195 100 18 1.27875360095283 237 2.37657695705651 0.336834325833914 100 23 1.38021124171161 1236 3.09236969962912 1.75665496510851 54 1.74036268949424 315 2.4996870826184 0.447691192564062 98.7301587301587 FALSE 2
157800 14264 268107 62146 5596 736 46604 9543 68440 0.996843950760251 0.859453535818315 0.938690686924213 FALSE 9543 3.97973043066229 68440 4.83531634644634 16.9681472822911 23.1078316773817 30.9921098772648 44.3790181180596 9450 3.97547776316587 62032 4.79262278474292 90.6370543541788 11.7536110394635 17.7714727882383 25.8689063709053 40.0245034820738 93 1.9731278535997 6408 3.80679027158407 9.36294564582116 98.6735330836455 100 15 1.20411998265592 216 2.33645973384853 0.315604909409702 100 25 1.41497334797082 5884 3.76974646717945 8.59731151373466 53 1.73239375982297 308 2.48995847942483 0.450029222676797 99.025974025974 FALSE 1
77192 9330 148955 28649 4335 597 26394 7825 41252 0.995709298701709 0.82366915523522 0.907252761744216 FALSE 7825 3.89353984356466 41252 4.61545553679068 18.1833608067488 24.4812372733443 32.4153980413071 45.2850770871715 7738 3.8886848466597 36891 4.56693219996574 89.4283913507224 12.0625626846656 18.364912851373 26.4617386354395 40.2211921606896 87 1.94448267215017 4361 3.63968566124268 10.5716086492776 98.6012382481082 100 19 1.30102999566398 177 2.25042000230889 0.429070105691845 100 24 1.39794000867204 4009 3.60314437262018 9.71831668767575 44 1.65321251377534 175 2.24551266781415 0.424221855910016 100 FALSE 0
